,paths,value,coef
0,"['CHFGBP=X', 'CHFJPY=X', 'CHFUSD=X', 'EURGBP=X', 'EURJPY=X', 'EURUSD=X', 'GBPCHF=X', 'GBPEUR=X', 'GBPJPY=X', 'GBPUSD=X', 'JPYCHF=X', 'JPYEUR=X', 'JPYGBP=X', 'JPYUSD=X', 'USDCHF=X', 'USDEUR=X', 'USDGBP=X', 'USDJPY=X']",tensor(2.1015),0.9984737124675879
1,"['CHFEUR=X', 'CHFGBP=X', 'CHFJPY=X', 'CHFUSD=X', 'EURCHF=X', 'EURGBP=X', 'EURJPY=X', 'EURUSD=X', 'GBPCHF=X', 'GBPEUR=X', 'GBPJPY=X', 'GBPUSD=X', 'JPYCHF=X', 'JPYEUR=X', 'JPYGBP=X', 'JPYUSD=X', 'USDCHF=X', 'USDEUR=X', 'USDGBP=X', 'USDJPY=X']",tensor(-10.9981),0.9980556725827741
