Datetime,CHFEUR=X,CHFGBP=X,CHFJPY=X,CHFUSD=X,EURCHF=X,EURGBP=X,EURJPY=X,EURUSD=X,GBPCHF=X,GBPEUR=X,GBPJPY=X,GBPUSD=X,JPYCHF=X,JPYEUR=X,JPYGBP=X,JPYUSD=X,USDCHF=X,USDEUR=X,USDGBP=X,USDJPY=X
2025-03-31 23:15:00+00:00,1.0449999570846558,0.8748999834060669,169.68099975585938,1.1310937404632568,0.9563599824905396,0.8372499942779541,162.28799438476562,1.0821340084075928,1.1421899795532227,1.1941800117492676,193.82899475097656,1.2920564413070679,0.005892000161111355,0.006160899996757507,0.005154000129550695,0.006665377877652645,0.8841000199317932,0.9240999817848206,0.7739599943161011,150.0290069580078
2025-03-31 23:45:00+00:00,1.045199990272522,0.8751999735832214,169.66600036621094,1.1313496828079224,0.9561200141906738,0.8372899889945984,162.23699951171875,1.0821340084075928,1.1418700218200684,1.1941499710083008,193.75999450683594,1.2919729948043823,0.0058929999358952045,0.00616280036047101,0.005156000144779682,0.006667733658105135,0.883899986743927,0.9240999817848206,0.7740100026130676,149.9759979248047
2025-04-01 00:15:00+00:00,1.045300006866455,0.8754000067710876,169.58900451660156,1.1319644451141357,0.9560499787330627,0.8374199867248535,162.16600036621094,1.082602620124817,1.1415499448776245,1.1939200162887573,193.6230010986328,1.2923569679260254,0.005896000191569328,0.006167200393974781,0.005160000175237656,0.006674186326563358,0.8834199905395508,0.9236999750137329,0.7737799882888794,149.83099365234375
2025-04-01 00:45:00+00:00,1.0454000234603882,0.8752999901771545,169.63800048828125,1.131861925125122,0.956059992313385,0.8373399972915649,162.19900512695312,1.0824854373931885,1.1417100429534912,1.1940799951553345,193.69400024414062,1.2923235893249512,0.005893999710679054,0.006163999903947115,0.005156999919563532,0.006671871058642864,0.8834999799728394,0.923799991607666,0.7738000154495239,149.88299560546875
2025-04-01 01:15:00+00:00,1.0455000400543213,0.8755000233650208,169.48699951171875,1.1322463750839233,0.9559500217437744,0.8374800086021423,162.03700256347656,1.0827198028564453,1.141379952430725,1.1938999891281128,193.4720001220703,1.2924739122390747,0.0058999997563660145,0.0061703999526798725,0.005162999965250492,0.006679848302155733,0.8831999897956848,0.9236000180244446,0.7737100124359131,149.70399475097656
2025-04-01 01:45:00+00:00,1.0455000400543213,0.8754000067710876,169.6230010986328,1.131861925125122,0.9559199810028076,0.8372700214385986,162.15499877929688,1.08236825466156,1.141610026359558,1.1941399574279785,193.66000366210938,1.292373776435852,0.005894999951124191,0.006167599931359291,0.005160000175237656,0.006672360468655825,0.8834999799728394,0.9239000082015991,0.7737699747085571,149.8719940185547
2025-04-01 02:15:00+00:00,1.045300006866455,0.8751999735832214,169.59300231933594,1.1319899559020996,0.9561399817466736,0.8372899889945984,162.16900634765625,1.0827198028564453,1.1419099569320679,1.1941900253295898,193.6719970703125,1.2927078008651733,0.005894999951124191,0.0061657000333070755,0.005158000160008669,0.006673963740468025,0.883400022983551,0.9236000180244446,0.7735700011253357,149.83599853515625
2025-04-01 02:45:00+00:00,1.045300006866455,0.8748000264167786,169.54800415039062,1.1321182250976562,0.9561600089073181,0.8369699716567993,162.1300048828125,1.0827198028564453,1.1423300504684448,1.1945899724960327,193.70399475097656,1.2932929992675781,0.005896000191569328,0.006166100036352873,0.005156999919563532,0.006676548160612583,0.8833000063896179,0.9236000180244446,0.7732200026512146,149.7779998779297
2025-04-01 03:15:00+00:00,1.045300006866455,0.8748000264167786,169.61199951171875,1.131861925125122,0.9561700224876404,0.8369500041007996,162.1929931640625,1.082602620124817,1.1423499584197998,1.1946099996566772,193.7779998779297,1.2931424379348755,0.005894999951124191,0.0061646997928619385,0.005154999904334545,0.006673028692603111,0.8834999799728394,0.9236999750137329,0.7733100056648254,149.85699462890625
2025-04-01 03:45:00+00:00,1.045300006866455,0.8748999834060669,169.53900146484375,1.1319899559020996,0.9561300277709961,0.8370599746704102,162.11700439453125,1.0828369855880737,1.142199993133545,1.1944899559020996,193.66299438476562,1.2932428121566772,0.005898000206798315,0.006167799700051546,0.005158999934792519,0.006676815450191498,0.883400022983551,0.9235000014305115,0.7732499837875366,149.77200317382812
2025-04-01 04:15:00+00:00,1.0455000400543213,0.875,169.43600463867188,1.1326310634613037,0.9559800028800964,0.8369699716567993,161.99000549316406,1.0830715894699097,1.1420999765396118,1.1945899724960327,193.5330047607422,1.2935941219329834,0.0059009999968111515,0.006173400208353996,0.005162999965250492,0.006683955900371075,0.8828999996185303,0.92330002784729,0.7730399966239929,149.61199951171875
2025-04-01 04:45:00+00:00,1.0456000566482544,0.875,169.43299865722656,1.1327465772628784,0.9558200240135193,0.8368499875068665,161.95899963378906,1.0830715894699097,1.1420899629592896,1.1948000192642212,193.531005859375,1.2938953638076782,0.0059009999968111515,0.00617349985986948,0.005162000190466642,0.006684715393930674,0.8828099966049194,0.92330002784729,0.7728599905967712,149.59500122070312
2025-04-01 05:15:00+00:00,1.0460000038146973,0.8751000165939331,169.4320068359375,1.1321951150894165,0.95551997423172,0.8366199731826782,161.91600036621094,1.0821340084075928,1.1420700550079346,1.1951700448989868,193.5279998779297,1.2930420637130737,0.0059009999968111515,0.006175300106406212,0.005162000190466642,0.006681589409708977,0.8832399845123291,0.9240999817848206,0.7733700275421143,149.6649932861328
