,paths,value,coef
0,"['CHFJPY=X', 'CHFUSD=X', 'EURCHF=X', 'EURJPY=X', 'JPYCHF=X', 'JPYEUR=X', 'JPYUSD=X', 'USDEUR=X', 'USDJPY=X']",tensor(9.0018),0.9982359258716128
1,"['CHFEUR=X', 'CHFUSD=X', 'EURCHF=X', 'EURJPY=X', 'JPYCHF=X', 'JPYEUR=X', 'USDJPY=X']",tensor(11.0020),0.997992479586437
2,"['CHFEUR=X', 'CHFJPY=X', 'EURJPY=X', 'EURUSD=X', 'JPYCHF=X', 'JPYEUR=X', 'JPYUSD=X', 'USDCHF=X', 'USDJPY=X']",tensor(9.0017),0.9982744912274645
3,"['CHFJPY=X', 'EURCHF=X', 'JPYEUR=X', 'JPYUSD=X', 'USDJPY=X']",tensor(9.0005),0.9995342156430214
4,"['CHFEUR=X', 'CHFJPY=X', 'EURCHF=X', 'EURJPY=X', 'JPYEUR=X', 'JPYUSD=X', 'USDCHF=X']",tensor(11.0011),0.9989309011840907
