,paths,value,coef
0,"['CHFEUR=X', 'EURJPY=X', 'JPYCHF=X', 'JPYUSD=X', 'USDJPY=X']",tensor(9.0017),0.9983119998548077
1,"['CHFUSD=X', 'EURJPY=X', 'JPYCHF=X', 'JPYUSD=X', 'USDEUR=X', 'USDJPY=X']",tensor(6.0012),0.998775070481324
2,"['CHFJPY=X', 'CHFUSD=X', 'EURCHF=X', 'EURJPY=X', 'JPYCHF=X', 'JPYEUR=X', 'JPYUSD=X', 'USDEUR=X', 'USDJPY=X']",tensor(9.0017),0.9983144813005763
3,"['CHFUSD=X', 'JPYCHF=X', 'USDJPY=X']",tensor(3.0010),0.9990200207398595
4,"['CHFJPY=X', 'EURUSD=X', 'JPYEUR=X', 'JPYUSD=X', 'USDCHF=X', 'USDJPY=X']",tensor(6.0003),0.9997209516068568
5,"['CHFJPY=X', 'CHFUSD=X', 'EURCHF=X', 'EURJPY=X', 'JPYCHF=X', 'JPYEUR=X', 'JPYUSD=X', 'USDEUR=X', 'USDJPY=X']",tensor(9.0017),0.9983144813005763
