,paths,value,coef
0,"['CHFJPY=X', 'CHFUSD=X', 'EURCHF=X', 'EURJPY=X', 'JPYCHF=X', 'JPYEUR=X', 'JPYUSD=X', 'USDEUR=X', 'USDJPY=X']",tensor(9.0013),0.9987471620585124
1,"['CHFUSD=X', 'EURJPY=X', 'JPYCHF=X', 'JPYEUR=X', 'USDJPY=X']",tensor(9.0008),0.9992138261281754
2,"['CHFJPY=X', 'CHFUSD=X', 'EURCHF=X', 'EURJPY=X', 'JPYCHF=X', 'JPYEUR=X', 'USDEUR=X']",tensor(11.0013),0.9987471835278301
3,"['CHFJPY=X', 'CHFUSD=X', 'EURCHF=X', 'JPYCHF=X', 'JPYEUR=X', 'USDJPY=X']",tensor(6.0009),0.9990770210778522
4,"['CHFEUR=X', 'CHFUSD=X', 'EURJPY=X', 'EURUSD=X', 'JPYCHF=X', 'JPYEUR=X', 'USDCHF=X', 'USDJPY=X']",tensor(8.0014),0.9986371645555475
5,"['CHFJPY=X', 'EURUSD=X', 'JPYEUR=X', 'JPYUSD=X', 'USDCHF=X', 'USDJPY=X']",tensor(6.0000),0.9999820435557417
