,paths,value,coef
0,"['CHFJPY=X', 'CHFUSD=X', 'EURCHF=X', 'EURJPY=X', 'JPYCHF=X', 'JPYEUR=X', 'JPYUSD=X', 'USDEUR=X', 'USDJPY=X']",tensor(9.0011),0.9988652094381281
1,"['CHFJPY=X', 'CHFUSD=X', 'EURUSD=X', 'JPYCHF=X', 'JPYEUR=X', 'USDCHF=X', 'USDJPY=X']",tensor(11.0006),0.9993903790129148
2,"['CHFEUR=X', 'CHFJPY=X', 'EURJPY=X', 'EURUSD=X', 'JPYCHF=X', 'JPYEUR=X', 'JPYUSD=X', 'USDCHF=X', 'USDJPY=X']",tensor(9.0012),0.9988342322495577
3,"['CHFJPY=X', 'CHFUSD=X', 'EURUSD=X', 'JPYCHF=X', 'JPYEUR=X', 'USDCHF=X', 'USDJPY=X']",tensor(11.0006),0.9993903790129148
